sign 	 ID 	 mC1 	 mN1 	 xsec 	 filtEff 	 xsec_relUnc 
C1pN2	394942	300p0	290p0	0.0000085165960	   0.172960000	0.0597430000000
C1mN2	394100	140p0	115p0	0.0000808333800	   0.348710000	0.0645280000000
C1mN2	398289	200p0	105p0	0.0000208446700	   0.460850000	0.0729927500000
C1pN2	394097	140p0	125p0	0.0001367283000	   0.248900000	0.0372960000000
C1pN2	394894	110p0	50p0	0.0003229436000	   0.362270000	0.0348160000000
C1pN2	394938	200p0	110p0	0.0000382862300	   0.439240000	0.0468530000000
C1mN2	398273	200p0	170p0	0.0000208446700	   0.393100000	0.0729927500000
C1pN2	394974	300p0	220p0	0.0000085165960	   0.468020000	0.0597430000000
C1mN2	394903	200p0	140p0	0.0000208446700	   0.441510000	0.0729930000000
C1pN2	394962	400p0	360p0	0.0000027450980	   0.448720000	0.0721470000000
C1mN2	394901	150p0	90p0	0.0000623907200	   0.424060000	0.0661720000000
C1pN2	394926	200p0	120p0	0.0000382862300	   0.437160000	0.0468530000000
C1mN2	394979	400p0	320p0	0.0000012144180	   0.493310000	0.0963930000000
C1mN2	394925	150p0	70p0	0.0000623907200	   0.434650000	0.0661720000000
C1pN2	394896	125p0	65p0	0.0002045473000	   0.378440000	0.0355890000000
C1pN2	394914	200p0	130p0	0.0000382862300	   0.432630000	0.0468530000000
C1pN2	398284	250p0	158p0	0.0000169226500	   0.462460000	0.0534650900000
C1mN2	394899	140p0	80p0	0.0000808333800	   0.416550000	0.0645280000000
C1pN2	394952	350p0	330p0	0.0000046825100	   0.352970000	0.0656570000000
C1pN2	394964	250p0	190p0	0.0000169226500	   0.446040000	0.0534650000000
C1pN2	394908	125p0	55p0	0.0002045473000	   0.387570000	0.0355890000000
C1mN2	394921	125p0	45p0	0.0001237581000	   0.416460000	0.0622370000000
C1pN2	394103	100p0	90p0	0.0004545921000	   0.144170000	0.0349460000000
C1pN2	394115	200p0	160p0	0.0000382862300	   0.403340000	0.0468530000000
C1mN2	394108	100p0	60p0	0.0002867911000	   0.366650000	0.0590480000000
C1pN2	394978	400p0	320p0	0.0000027450980	   0.485020000	0.0721470000000
C1mN2	394096	140p0	130p0	0.0000808333800	   0.160800000	0.0645280000000
C1pN2	394946	400p0	390p0	0.0000027450980	   0.171760000	0.0721470000000
C1mN2	394917	100p0	20p0	0.0002867911000	   0.397480000	0.0590480000000
C1mN2	394959	300p0	260p0	0.0000041427290	   0.439490000	0.0854570000000
C1mN2	394963	400p0	360p0	0.0000012144180	   0.454230000	0.0963930000000
C1mN2	398269	150p0	120p0	0.0000623907200	   0.371700000	0.0661716600000
C1pN2	394936	150p0	60p0	0.0001071069000	   0.412270000	0.0388460000000
C1mN2	398285	250p0	158p0	0.0000086780830	   0.476370000	0.0796452500000
C1mN2	398275	200p0	150p0	0.0000208446700	   0.432870000	0.0729927500000
C1pN2	394982	200p0	180p0	0.0000382862300	   0.325410000	0.0468530000000
C1mN2	394104	100p0	90p0	0.0002867911000	   0.151350000	0.0590480000000
C1pN2	394902	200p0	140p0	0.0000382862300	   0.427090000	0.0468530000000
C1mN2	394983	200p0	180p0	0.0000208446700	   0.336540000	0.0729930000000
C1mN2	394953	350p0	330p0	0.0000021701140	   0.355860000	0.0916340000000
C1mN2	394955	400p0	380p0	0.0000012144180	   0.361130000	0.0963930000000
C1mN2	394929	100p0	10p0	0.0002867911000	   0.401670000	0.0590480000000
C1pN2	394956	250p0	210p0	0.0000169226500	   0.422080000	0.0534650000000
C1pN2	398286	300p0	208p0	0.0000085165960	   0.476750000	0.0597428500000
C1mN2	394931	110p0	20p0	0.0002002429000	   0.408420000	0.0602180000000
C1pN2	398268	150p0	120p0	0.0001071069000	   0.354880000	0.0388458200000
C1pN2	394099	140p0	115p0	0.0001367283000	   0.331090000	0.0372960000000
C1mN2	394897	125p0	65p0	0.0001237581000	   0.404010000	0.0622370000000
C1mN2	398271	150p0	100p0	0.0000623907200	   0.413640000	0.0661716600000
C1mN2	394947	400p0	390p0	0.0000012144180	   0.170850000	0.0963930000000
C1mN2	394977	350p0	270p0	0.0000021701140	   0.487530000	0.0916340000000
C1mN2	394098	140p0	125p0	0.0000808333800	   0.261290000	0.0645280000000
C1pN2	398270	150p0	100p0	0.0001071069000	   0.388980000	0.0388458200000
C1mN2	394895	110p0	50p0	0.0002002429000	   0.394570000	0.0602180000000
C1pN2	394954	400p0	380p0	0.0000027450980	   0.356990000	0.0721470000000
C1mN2	394923	140p0	60p0	0.0000808333800	   0.427810000	0.0645280000000
C1mN2	394102	140p0	100p0	0.0000808333800	   0.394130000	0.0645280000000
C1pN2	394948	250p0	230p0	0.0000169226500	   0.337110000	0.0534650000000
C1mN2	394116	200p0	160p0	0.0000208446700	   0.419660000	0.0729930000000
C1mN2	394945	350p0	340p0	0.0000021701140	   0.171710000	0.0916340000000
C1pN2	398272	200p0	170p0	0.0000382862300	   0.379480000	0.0468530100000
C1mN2	394114	150p0	110p0	0.0000623907200	   0.400680000	0.0661720000000
C1mN2	394965	250p0	190p0	0.0000086780830	   0.456450000	0.0796450000000
C1mN2	394084	110p0	85p0	0.0002002429000	   0.331890000	0.0602180000000
C1mN2	394973	250p0	170p0	0.0000086780830	   0.469570000	0.0796450000000
C1pN2	394916	100p0	20p0	0.0004545921000	   0.363850000	0.0349460000000
C1pN2	394940	250p0	240p0	0.0000169226500	   0.170580000	0.0534650000000
C1pN2	394950	300p0	280p0	0.0000085165960	   0.345820000	0.0597430000000
C1pN2	394910	140p0	70p0	0.0001367283000	   0.399360000	0.0372960000000
C1mN2	394969	350p0	290p0	0.0000021701140	   0.473620000	0.0916340000000
C1pN2	394958	300p0	260p0	0.0000085165960	   0.435550000	0.0597430000000
C1pN2	398288	200p0	105p0	0.0000382862300	   0.442780000	0.0468530100000
C1mN2	394949	250p0	230p0	0.0000086780830	   0.346200000	0.0796450000000
C1mN2	394911	140p0	70p0	0.0000808333800	   0.423920000	0.0645280000000
C1mN2	394967	300p0	240p0	0.0000041427290	   0.466550000	0.0854570000000
C1mN2	394094	125p0	85p0	0.0001237581000	   0.384850000	0.0622370000000
